Date,Year,Month,SumNet
2062-03-21,62,3,4360.202726228761
2062-03-22,62,3,26029.999350392212
2062-03-23,62,3,19075.64567799918
2062-03-24,62,3,10596.042720726826
2062-03-25,62,3,2843.192158294685
2062-03-26,62,3,10018.487329754204
2062-03-27,62,3,10430.316338775665
2062-03-28,62,3,22158.579171803856
2062-03-29,62,3,19489.16666930118
2062-03-30,62,3,26729.16953471347
2062-03-31,62,3,14694.23282969653
2062-04-01,62,4,4468.233132210749
2062-04-02,62,4,21684.098829466857
2062-04-03,62,4,23062.766409890024
2062-04-04,62,4,17277.038729515392
2062-04-05,62,4,23358.04821868227
2062-04-06,62,4,15320.072294567331
2062-04-07,62,4,16159.252052077827
2062-04-08,62,4,13398.689532397939
2062-04-09,62,4,1737.1546755787604
2062-04-10,62,4,4128.851382805829
2062-04-11,62,4,1911.4463849152933
2062-04-12,62,4,19455.901926649633
2062-04-13,62,4,10116.323451213473
2062-04-14,62,4,15748.55004377638
2062-04-15,62,4,27319.427743856697
2062-04-16,62,4,8229.474645317372
2062-04-17,62,4,12901.104768033263
2062-04-18,62,4,22910.98301774841
2062-04-19,62,4,7635.1467992570515
2062-04-20,62,4,3232.4173850349966
2062-04-21,62,4,9402.792134499272
2062-04-22,62,4,5675.417330366128
2062-04-23,62,4,27961.23191793462
2062-04-24,62,4,24435.49100736809
2062-04-25,62,4,19368.70893880228
2062-04-26,62,4,26272.357115443814
2062-04-27,62,4,24306.49023007432
2062-04-28,62,4,6410.53170769504
2062-04-29,62,4,26884.210956209354
2062-04-30,62,4,16640.92501555387
2062-05-01,62,5,24415.764499757814
2062-05-02,62,5,26986.647697781304
2062-05-03,62,5,10222.100774184053
2062-05-04,62,5,4191.505811302626
2062-05-05,62,5,7610.119713716309
2062-05-06,62,5,13386.125870161433
2062-05-07,62,5,24722.4282117523
2062-05-08,62,5,25961.186914433958
2062-05-09,62,5,1201.6117854045303
2062-05-10,62,5,15811.671774749406
2062-05-11,62,5,13104.91909131459
2062-05-12,62,5,7441.126503651177
2062-05-13,62,5,4476.095652676801
2062-05-14,62,5,10790.83997070521
2062-05-15,62,5,28344.381413463056
2062-05-16,62,5,10372.885028601902
2062-05-17,62,5,16044.928030557618
2062-05-18,62,5,21387.549807960157
2062-05-19,62,5,11545.258468999526
2062-05-20,62,5,29181.680398907858
2062-05-21,62,5,28910.971553321226
2062-05-22,62,5,8301.686578935562
2062-05-23,62,5,15420.206670879177
2062-05-24,62,5,9725.47098468632
2062-05-25,62,5,9260.374336946561
2062-05-26,62,5,2069.721473281451
2062-05-27,62,5,18677.365685417008
2062-05-28,62,5,15577.691673636984
2062-05-29,62,5,2492.883786249691
2062-05-30,62,5,9080.747462861731
2062-05-31,62,5,27339.710693032957
2062-06-01,62,6,7947.2948293422005
2062-06-02,62,6,5201.951290645469
2062-06-03,62,6,15194.130048049328
2062-06-04,62,6,29583.86316920742
2062-06-05,62,6,8019.602873833512
2062-06-06,62,6,20491.930874770478
2062-06-07,62,6,23086.96884453281
2062-06-08,62,6,7891.4887757795905
2062-06-09,62,6,22118.27410974393
2062-06-10,62,6,11665.710848858344
2062-06-11,62,6,19336.869087213803
2062-06-12,62,6,19372.361612065946
2062-06-13,62,6,16537.465838168
2062-06-14,62,6,3618.4033315778406
2062-06-15,62,6,25223.7723720879
2062-06-16,62,6,10302.621884180338
2062-06-17,62,6,6409.036801595773
2062-06-18,62,6,2182.4791050881536
2062-06-19,62,6,18135.895352459014
2062-06-20,62,6,20649.36649342619
2062-06-21,62,6,1481.0470389078284
2062-06-22,62,6,15850.698690679148
2062-06-23,62,6,7568.377480740201
2062-06-24,62,6,19710.010921874047
2062-06-25,62,6,6056.626441144752
2062-06-26,62,6,21037.194404971513
2062-06-27,62,6,12215.325042715585
2062-06-28,62,6,28165.1696733653
2062-06-29,62,6,4988.107380233804
2062-06-30,62,6,10890.924180457498
2062-07-01,62,7,4290.732115977084
2062-07-02,62,7,27816.11493007832
2062-07-03,62,7,26442.841248048448
2062-07-04,62,7,8480.307203739512
2062-07-05,62,7,20139.537334991193
2062-07-06,62,7,24699.44380583526
2062-07-07,62,7,17100.823536384407
2062-07-08,62,7,16359.866772324189
2062-07-09,62,7,8013.716436113099
2062-07-10,62,7,3699.980266371077
2062-07-11,62,7,27019.256980646474
2062-07-12,62,7,27112.12365773658
2062-07-13,62,7,19359.94226092477
2062-07-14,62,7,10831.86394041232
2062-07-15,62,7,11127.077663767166
2062-07-16,62,7,22052.71468723694
2062-07-17,62,7,27016.197538624736
2062-07-18,62,7,26725.506303688402
2062-07-19,62,7,23616.390829871092
2062-07-20,62,7,19618.917738474345
2062-07-21,62,7,3440.0589848564164
2062-07-22,62,7,5687.232708743799
2062-07-23,62,7,27058.0714672853
2062-07-24,62,7,18586.442730128107
2062-07-25,62,7,1266.7144968822597
2062-07-26,62,7,3942.674743114931
2062-07-27,62,7,20241.55130413362
2062-07-28,62,7,1146.7859315403418
2062-07-29,62,7,5663.433491107461
2062-07-30,62,7,16913.279891631
2062-07-31,62,7,21064.960733088104
2062-08-01,62,8,19906.876525575415
2062-08-02,62,8,7503.809974356233
2062-08-03,62,8,21653.19741907854
2062-08-04,62,8,7880.2235374072025
2062-08-05,62,8,10436.591246618764
2062-08-06,62,8,22648.2507484227
2062-08-07,62,8,19839.354072369224
2062-08-08,62,8,25627.47890433116
2062-08-09,62,8,20070.773876709958
2062-08-10,62,8,17480.949496728677
2062-08-11,62,8,3716.5682670146816
2062-08-12,62,8,11663.758288723571
2062-08-13,62,8,8690.868662770037
2062-08-14,62,8,8075.699657993424
2062-08-15,62,8,29217.30608782092
2062-08-16,62,8,12399.834015336051
2062-08-17,62,8,26869.350100136286
2062-08-18,62,8,19303.020153920625
2062-08-19,62,8,24049.527802707806
2062-08-20,62,8,15576.47570005057
2062-08-21,62,8,17730.212654164414
2062-08-22,62,8,15283.013120747053
2062-08-23,62,8,6662.046646143291
2062-08-24,62,8,21951.111342583656
2062-08-25,62,8,9142.398510784818
2062-08-26,62,8,1705.1630265121612
2062-08-27,62,8,19718.696581307868
2062-08-28,62,8,6136.209702804419
2062-08-29,62,8,28273.298946234514
2062-08-30,62,8,28663.928733075034
2062-08-31,62,8,27531.067316393008
2062-09-01,62,9,11734.602307407888
2062-09-02,62,9,1448.2418793371553
2062-09-03,62,9,27921.238315044036
2062-09-04,62,9,13417.340301202115
2062-09-05,62,9,29032.989752266418
2062-09-06,62,9,28944.979335588334
2062-09-07,62,9,25737.27420855344
2062-09-08,62,9,9539.017870017986
2062-09-09,62,9,12167.834129455832
2062-09-10,62,9,25682.96347398885
2062-09-11,62,9,10190.738149532051
2062-09-12,62,9,5915.2896538966825
2062-09-13,62,9,17147.23661129215
2062-09-14,62,9,28148.488450662648
2062-09-15,62,9,21184.86410357422
2062-09-16,62,9,17531.773932591583
2062-09-17,62,9,3818.1183193522875
2062-09-18,62,9,18835.209574275923
2062-09-19,62,9,29711.561653023637
2062-09-20,62,9,5062.436441859197
2062-09-21,62,9,16031.559918548366
2062-09-22,62,9,26443.81908591071
2062-09-23,62,9,22482.28991487193
2062-09-24,62,9,21213.456488862772
2062-09-25,62,9,21372.038435626167
2062-09-26,62,9,11425.2433853729
2062-09-27,62,9,9514.163483670307
2062-09-28,62,9,24471.473508876894
2062-09-29,62,9,24493.288445696242
2062-09-30,62,9,26145.097238823008
2062-10-01,62,10,27483.976024137668
2062-10-02,62,10,15828.929566967196
2062-10-03,62,10,15543.97254592879
2062-10-04,62,10,24150.560190036478
2062-10-05,62,10,19848.95399255519
2062-10-06,62,10,21357.039440473396
2062-10-07,62,10,24077.98741364693
2062-10-08,62,10,26810.154912709422
2062-10-09,62,10,10801.859548694538
2062-10-10,62,10,11891.905626558377
2062-10-11,62,10,3725.476255385201
2062-10-12,62,10,17770.124088889046
2062-10-13,62,10,2042.3259401055204
2062-10-14,62,10,14502.342525841344
2062-10-15,62,10,16736.694406519724
2062-10-16,62,10,9309.696311720249
2062-10-17,62,10,18134.164556501313
2062-10-18,62,10,1884.5072482324335
2062-10-19,62,10,2083.097473727218
2062-10-20,62,10,24855.41625913009
2062-10-21,62,10,11445.528600926624
2062-10-22,62,10,4684.754866904659
2062-10-23,62,10,16145.054541589327
2062-10-24,62,10,23329.813039859713
2062-10-25,62,10,7258.809797408452
2062-10-26,62,10,19063.823798751007
2062-10-27,62,10,3475.076484819272
2062-10-28,62,10,2498.7699138896232
2062-10-29,62,10,16409.284315476292
2062-10-30,62,10,16678.418526693087
2062-10-31,62,10,19485.46714344799
2062-11-01,62,11,22056.648677957186
2062-11-02,62,11,29299.710304413504
2062-11-03,62,11,15972.710100734665
2062-11-04,62,11,10365.737715296133
2062-11-05,62,11,24060.399648292405
2062-11-06,62,11,8854.135286600153
2062-11-07,62,11,13730.171200463446
2062-11-08,62,11,3275.2350589257126
2062-11-09,62,11,1735.1715590482677
2062-11-10,62,11,28916.804025659825
2062-11-11,62,11,25243.42349485397
2062-11-12,62,11,21183.25197671724
2062-11-13,62,11,12859.635388013827
2062-11-14,62,11,6025.535282054528
2062-11-15,62,11,5536.674237461495
2062-11-16,62,11,8257.044046773264
2062-11-17,62,11,16927.573276477495
2062-11-18,62,11,21723.281758301808
2062-11-19,62,11,20145.723924814207
2062-11-20,62,11,9118.083011432343
2062-11-21,62,11,28691.093139232627
2062-11-22,62,11,22399.010584177286
2062-11-23,62,11,17076.267522830618
2062-11-24,62,11,18739.901640796215
2062-11-25,62,11,13168.401810405907
2062-11-26,62,11,8184.198695533566
2062-11-27,62,11,11323.207680886586
2062-11-28,62,11,22977.537203466705
2062-11-29,62,11,1417.4111702629202
2062-11-30,62,11,4366.1065747005705
2062-12-01,62,12,2334.0766186308297
2062-12-02,62,12,2181.135267250134
2062-12-03,62,12,25808.35693631921
2062-12-04,62,12,21406.077922020686
2062-12-05,62,12,14751.04104353243
2062-12-06,62,12,3837.190658879043
2062-12-07,62,12,15256.860378388139
2062-12-08,62,12,14730.681352636404
2062-12-09,62,12,6022.85422739044
2062-12-10,62,12,13581.697827901218
2062-12-11,62,12,12556.63729752383
2062-12-12,62,12,18859.65284351428
2062-12-13,62,12,19417.71587516167
2062-12-14,62,12,2313.816283389291
2062-12-15,62,12,11863.765824167665
2062-12-16,62,12,19149.937555712855
2062-12-17,62,12,15590.951498822544
2062-12-18,62,12,25838.205394461347
2062-12-19,62,12,20102.115316949406
2062-12-20,62,12,5725.098385361461
2062-12-21,62,12,3046.4936746124654
2062-12-22,62,12,19630.159067983153
2062-12-23,62,12,1768.8280057070326
2062-12-24,62,12,17987.491856930435
2062-12-25,62,12,28266.67700132377
2062-12-26,62,12,17688.75115840049
2062-12-27,62,12,12256.927859989135
2062-12-28,62,12,19655.35833482824
2062-12-29,62,12,14289.333824253983
2062-12-30,62,12,16822.886890162114
2062-12-31,62,12,28302.47945451923
2063-01-01,63,1,12196.976496222453
2063-01-02,63,1,28874.526350893513
2063-01-03,63,1,27255.16861672585
2063-01-04,63,1,6677.942908889597
2063-01-05,63,1,3011.4777253797984
2063-01-06,63,1,3922.562039945373
2063-01-07,63,1,1528.4329438949421
2063-01-08,63,1,3738.8458619219236
2063-01-09,63,1,20807.19642907435
2063-01-10,63,1,3064.4708053466406
2063-01-11,63,1,10250.293278519077
2063-01-12,63,1,25501.384018114182
2063-01-13,63,1,1674.88613633895
2063-01-14,63,1,24619.58599507914
2063-01-15,63,1,9173.788468428598
2063-01-16,63,1,4426.780001028032
2063-01-17,63,1,21205.37779556037
2063-01-18,63,1,19239.342556616637
2063-01-19,63,1,26446.688392284537
2063-01-20,63,1,22317.060270312686
2063-01-21,63,1,24300.94698116061
2063-01-22,63,1,9179.002604567888
2063-01-23,63,1,6145.746769611962
2063-01-24,63,1,22767.82779758489
2063-01-25,63,1,24398.207438750655
2063-01-26,63,1,29724.649118019526
2063-01-27,63,1,12965.912630431369
2063-01-28,63,1,11788.524487990711
2063-01-29,63,1,23515.97586151791
2063-01-30,63,1,10883.302667337517
2063-01-31,63,1,27991.962442503376
2063-02-01,63,2,25893.969803447344
2063-02-02,63,2,13440.826793875533
2063-02-03,63,2,22775.260965953425
2063-02-04,63,2,22881.743348455788
2063-02-05,63,2,3990.5921962420457
2063-02-06,63,2,27174.034293707435
2063-02-07,63,2,15652.318800987858
2063-02-08,63,2,24967.266517124506
2063-02-09,63,2,10281.438429887741
2063-02-10,63,2,26970.173626389813
2063-02-11,63,2,12286.848683290731
2063-02-12,63,2,1314.2918929286525
2063-02-13,63,2,27256.077316158648
2063-02-14,63,2,3647.313626797873
2063-02-15,63,2,10260.09549012203
2063-02-16,63,2,28551.797044473344
2063-02-17,63,2,28567.60726118913
2063-02-18,63,2,17629.698755575297
2063-02-19,63,2,19323.27915292418
2063-02-20,63,2,14004.920137371273
2063-02-21,63,2,9503.112379243872
2063-02-22,63,2,10531.271815727563
2063-02-23,63,2,20503.035226234115
2063-02-24,63,2,22818.86135369272
2063-02-25,63,2,23955.79226804961
2063-02-26,63,2,23898.926141042062
2063-02-27,63,2,3644.9769884120205
2063-02-28,63,2,15338.188836374862
2063-03-01,63,3,2669.204040482684
2063-03-02,63,3,16936.33758738833
2063-03-03,63,3,13804.384539827934
2063-03-04,63,3,26743.421299990692
2063-03-05,63,3,11176.535364010282
2063-03-06,63,3,4394.94347640057
2063-03-07,63,3,5146.75877953224
2063-03-08,63,3,23083.808319806696
2063-03-09,63,3,18928.32383617157
2063-03-10,63,3,3932.557607560917
2063-03-11,63,3,3439.0973773349256
2063-03-12,63,3,21328.10481231448
2063-03-13,63,3,3110.1271845616125
2063-03-14,63,3,24833.94171942033
2063-03-15,63,3,21481.02458753839
2063-03-16,63,3,3359.114638615093
2063-03-17,63,3,3460.2937084705654
2063-03-18,63,3,29612.547776534087
2063-03-19,63,3,11853.85307692749
2063-03-20,63,3,11748.622264939837
2063-03-21,63,3,24571.187450467576
2063-03-22,63,3,28470.2087441319
2063-03-23,63,3,29594.030850863255
2063-03-24,63,3,22847.967372509305
2063-03-25,63,3,11911.527980396557
2063-03-26,63,3,3421.520784261394
2063-03-27,63,3,23537.260561895666
2063-03-28,63,3,17193.723242338347
2063-03-29,63,3,13302.438268162312
2063-03-30,63,3,27284.277167747343
2063-03-31,63,3,4224.726986878389
2063-04-01,63,4,15286.128024434915
2063-04-02,63,4,1329.255698255153
2063-04-03,63,4,14591.158617829662
2063-04-04,63,4,2632.794994773283
2063-04-05,63,4,4445.719571774085
2063-04-06,63,4,4408.261156536042
2063-04-07,63,4,19827.098761365844
2063-04-08,63,4,22635.301498697274
2063-04-09,63,4,17917.69418781763
2063-04-10,63,4,28903.003905761714
2063-04-11,63,4,11871.246806187417
2063-04-12,63,4,9285.650502173961
2063-04-13,63,4,26189.37471749435
2063-04-14,63,4,7484.279317064126
2063-04-15,63,4,28933.453643777728
2063-04-16,63,4,1352.4797660046738
2063-04-17,63,4,29126.485974521533
2063-04-18,63,4,2251.6374465667072
2063-04-19,63,4,26843.15029724406
2063-04-20,63,4,16303.332163502695
2063-04-21,63,4,29795.97908745971
2063-04-22,63,4,3140.100377326567
2063-04-23,63,4,17061.774247638303
2063-04-24,63,4,29109.77353295387
2063-04-25,63,4,16169.837480934315
2063-04-26,63,4,19252.560505922615
2063-04-27,63,4,21176.711980553897
2063-04-28,63,4,14181.690878265423
2063-04-29,63,4,19199.18432243784
2063-04-30,63,4,17945.115045769908
2063-05-01,63,5,27133.58230423868
2063-05-02,63,5,2317.9450299022783
2063-05-03,63,5,9147.93249817468
2063-05-04,63,5,28561.933038220202
2063-05-05,63,5,26817.649732836573
2063-05-06,63,5,14214.045830785675
2063-05-07,63,5,18983.845336244565
2063-05-08,63,5,9044.054306452847
2063-05-09,63,5,6455.513631989078
2063-05-10,63,5,14447.253743259482
2063-05-11,63,5,11247.214612755532
2063-05-12,63,5,17926.02724367529
2063-05-13,63,5,3254.30447198456
2063-05-14,63,5,29257.449422318827
2063-05-15,63,5,29600.111589908483
2063-05-16,63,5,21246.689706572608
2063-05-17,63,5,16546.79462397949
2063-05-18,63,5,9976.300872303505
2063-05-19,63,5,24600.05557150151
2063-05-20,63,5,20857.2040040625
2063-05-21,63,5,5715.891241001847
2063-05-22,63,5,27416.88835032143
2063-05-23,63,5,24853.5800447719
2063-05-24,63,5,28544.197485465796
2063-05-25,63,5,22045.86574326244
2063-05-26,63,5,18789.040682137907
2063-05-27,63,5,13129.048052427948
2063-05-28,63,5,28049.126017266386
2063-05-29,63,5,26115.85279551184
2063-05-30,63,5,2311.341433079493
2063-05-31,63,5,1764.642260420308
2063-06-01,63,6,11917.437639463438
2063-06-02,63,6,24506.046592673152
2063-06-03,63,6,29631.00775013339
2063-06-04,63,6,5362.089842002318
2063-06-05,63,6,18229.790745211918
2063-06-06,63,6,12045.834842299624
2063-06-07,63,6,29127.517536623494
2063-06-08,63,6,25421.448770935553
2063-06-09,63,6,25311.532436622998
2063-06-10,63,6,14592.101634054137
2063-06-11,63,6,13029.76556779229
2063-06-12,63,6,8928.80508599048
2063-06-13,63,6,2634.8894028768864
2063-06-14,63,6,26076.948911396543
2063-06-15,63,6,24574.12926477225
2063-06-16,63,6,29991.812525297788
2063-06-17,63,6,29902.468275143256
2063-06-18,63,6,17107.519462476193
2063-06-19,63,6,23300.635040234803
2063-06-20,63,6,28398.20616659041
2063-06-21,63,6,25639.774329644933
2063-06-22,63,6,8173.094950552732
2063-06-23,63,6,14065.779923992712
2063-06-24,63,6,4745.623039393355
2063-06-25,63,6,28667.479790502948
2063-06-26,63,6,18579.06439907552
2063-06-27,63,6,7630.641359600419
2063-06-28,63,6,20479.319847769846
2063-06-29,63,6,18925.718973278978
2063-06-30,63,6,11386.718822952374
2063-07-01,63,7,4293.170173789242
2063-07-02,63,7,20475.622672191188
2063-07-03,63,7,16088.923326210006
2063-07-04,63,7,23397.23336033354
2063-07-05,63,7,16084.741532247808
2063-07-06,63,7,25713.263509237662
2063-07-07,63,7,17005.29832446008
2063-07-08,63,7,17267.201174526203
2063-07-09,63,7,26422.954477092007
2063-07-10,63,7,12701.003120159514
2063-07-11,63,7,4886.441625068581
2063-07-12,63,7,1834.6976130868302
2063-07-13,63,7,22898.98041453495
2063-07-14,63,7,18988.976989250474
2063-07-15,63,7,21418.313274877484
2063-07-16,63,7,7175.9606837584115
2063-07-17,63,7,4954.772792016323
2063-07-18,63,7,1421.795304368576
2063-07-19,63,7,11167.039205391313
2063-07-20,63,7,18107.612918784358
2063-07-21,63,7,12375.077307892238
2063-07-22,63,7,13686.772738688143
2063-07-23,63,7,27220.602140318704
2063-07-24,63,7,11099.40854367571
2063-07-25,63,7,15905.695185634513
2063-07-26,63,7,23725.93736949315
2063-07-27,63,7,12499.740687316835
2063-07-28,63,7,19040.514306608333
2063-07-29,63,7,26008.54755365561
2063-07-30,63,7,28536.098086071623
2063-07-31,63,7,5265.1309469421
2063-08-01,63,8,27871.041129683337
2063-08-02,63,8,15271.372499306608
2063-08-03,63,8,8489.087260669792
2063-08-04,63,8,14314.936930909578
2063-08-05,63,8,29420.944683278834
2063-08-06,63,8,15285.924725793218
2063-08-07,63,8,10533.796698337737
2063-08-08,63,8,19368.624775185046
2063-08-09,63,8,7964.222944567599
2063-08-10,63,8,3200.0365151512538
2063-08-11,63,8,4737.511935408827
2063-08-12,63,8,4713.329329775401
2063-08-13,63,8,5405.178111856536
2063-08-14,63,8,5025.988006832894
2063-08-15,63,8,19585.367599293222
2063-08-16,63,8,6274.5224475752
2063-08-17,63,8,11024.351216392033
2063-08-18,63,8,27006.863887274343
2063-08-19,63,8,14744.887567623298
2063-08-20,63,8,20359.17441710979
2063-08-21,63,8,5997.276264847265
2063-08-22,63,8,6576.381545451452
2063-08-23,63,8,2185.1898717278873
2063-08-24,63,8,5899.116829092772
2063-08-25,63,8,9079.1198319268
2063-08-26,63,8,6133.304044025657
2063-08-27,63,8,3572.373478954613
2063-08-28,63,8,4498.440261917423
2063-08-29,63,8,14362.584272949047
2063-08-30,63,8,6983.6778337679825
2063-08-31,63,8,11563.825970394188
2063-09-01,63,9,15599.10085479085
2063-09-02,63,9,21021.450030251595
2063-09-03,63,9,2140.052055391869
2063-09-04,63,9,24182.90156836224
2063-09-05,63,9,19209.111295236326
2063-09-06,63,9,3371.0119265172852
2063-09-07,63,9,26333.78009909654
2063-09-08,63,9,27705.299615422584
2063-09-09,63,9,2771.2608357910485
2063-09-10,63,9,9029.451796268908
2063-09-11,63,9,24379.83711399878
2063-09-12,63,9,22699.53102112609
2063-09-13,63,9,6351.109561334943
2063-09-14,63,9,7071.130376764599
2063-09-15,63,9,11743.690980950078
2063-09-16,63,9,15051.166570539619
2063-09-17,63,9,18929.38837437858
2063-09-18,63,9,11698.4955475234
2063-09-19,63,9,14413.506767861289
2063-09-20,63,9,22676.65720587894
2063-09-21,63,9,2063.8128838273387
2063-09-22,63,9,8320.671385976602
2063-09-23,63,9,21687.13799065202
2063-09-24,63,9,26960.99829292878
2063-09-25,63,9,15838.645821354317
2063-09-26,63,9,16431.291072694155
2063-09-27,63,9,4107.988328853506
2063-09-28,63,9,13974.958637880185
2063-09-29,63,9,16445.900727195673
2063-09-30,63,9,8031.64460540716
2063-10-01,63,10,8808.053697532048
2063-10-02,63,10,11941.240730034056
2063-10-03,63,10,1582.0647355540646
2063-10-04,63,10,10340.29580191217
2063-10-05,63,10,7131.992202899794
2063-10-06,63,10,10497.423213159525
2063-10-07,63,10,4473.101822758285
2063-10-08,63,10,26825.291141456953
2063-10-09,63,10,18214.18115306741
2063-10-10,63,10,20693.967255190197
2063-10-11,63,10,23885.96591961281
2063-10-12,63,10,15454.82376894266
2063-10-13,63,10,3520.688354535287
2063-10-14,63,10,16576.089712737885
2063-10-15,63,10,18018.392422605495
2063-10-16,63,10,22617.74475134557
2063-10-17,63,10,13518.126840660703
2063-10-18,63,10,4699.828781071349
2063-10-19,63,10,9229.50126816301
2063-10-20,63,10,11529.386595560418
2063-10-21,63,10,19731.599998616435
2063-10-22,63,10,17552.570835398445
2063-10-23,63,10,11326.805051037541
2063-10-24,63,10,29608.942214996412
2063-10-25,63,10,18567.469761349726
2063-10-26,63,10,7879.57696034384
2063-10-27,63,10,3951.6917059917087
2063-10-28,63,10,5432.915036345629
2063-10-29,63,10,8132.774123150736
2063-10-30,63,10,5659.759824527115
2063-10-31,63,10,6410.443697487867
2063-11-01,63,11,9267.759892121567
2063-11-02,63,11,6027.83426354789
2063-11-03,63,11,27006.19731416633
2063-11-04,63,11,3326.7786241876242
2063-11-05,63,11,16210.830297537386
2063-11-06,63,11,12901.507982700185
2063-11-07,63,11,29488.979890349587
2063-11-08,63,11,4249.128162873518
2063-11-09,63,11,12537.812372326507
2063-11-10,63,11,29114.642564985697
2063-11-11,63,11,26099.70665092543
2063-11-12,63,11,24695.090057529116
2063-11-13,63,11,8479.181984303255
2063-11-14,63,11,5955.740034311909
2063-11-15,63,11,20390.6533778085
2063-11-16,63,11,27951.903684699988
2063-11-17,63,11,17146.123897403966
2063-11-18,63,11,17576.767994627095
2063-11-19,63,11,9119.39371614824
2063-11-20,63,11,23315.29506256617
2063-11-21,63,11,6424.268708168178
2063-11-22,63,11,10386.697855723067
2063-11-23,63,11,13337.656719876086
2063-11-24,63,11,15720.700981849195
2063-11-25,63,11,8029.8822400373265
2063-11-26,63,11,4330.267917436902
2063-11-27,63,11,18707.981230807345
2063-11-28,63,11,9370.286043967417
2063-11-29,63,11,17855.908421255757
2063-11-30,63,11,5476.518742951867
2063-12-01,63,12,14953.062953789708
2063-12-02,63,12,16445.09354399599
2063-12-03,63,12,2502.8825678503804
2063-12-04,63,12,10761.524067623697
2063-12-05,63,12,4898.025631230254
2063-12-06,63,12,2837.8741437102644
2063-12-07,63,12,29708.84673930841
2063-12-08,63,12,10348.261504266966
2063-12-09,63,12,24486.358929784412
2063-12-10,63,12,8384.578988149151
2063-12-11,63,12,20763.578944493947
2063-12-12,63,12,23046.60793680091
2063-12-13,63,12,18273.523477627485
2063-12-14,63,12,14675.709467954593
2063-12-15,63,12,12943.386510270788
2063-12-16,63,12,11117.179729746864
2063-12-17,63,12,27956.34518318695
2063-12-18,63,12,25087.962825844144
2063-12-19,63,12,28985.780409328865
2063-12-20,63,12,4604.619481080797
2063-12-21,63,12,22195.156780905683
2063-12-22,63,12,28211.873247810097
2063-12-23,63,12,6255.758918804145
2063-12-24,63,12,2928.391753636547
2063-12-25,63,12,22492.498829411714
2063-12-26,63,12,17659.720282217444
2063-12-27,63,12,25413.03452598989
2063-12-28,63,12,5053.398922162396
2063-12-29,63,12,24062.752043936816
2063-12-30,63,12,6847.192281384591
2063-12-31,63,12,5746.022343105431
2064-01-01,64,1,5763.708139998796
2064-01-02,64,1,24622.66688671008
